Q9H1B4	NXF5
Q5VV42	CDKAL1
Q6PJI9	WDR59
A4D161	FAM221A
P47890	OR1G1
O75469	NR1I2
O95232	LUC7L3
Q6UXE8	BTNL3
Q9H2A2	ALDH8A1
P46734	MAP2K3
Q04724	TLE1
Q13751	LAMB3
Q5EBM0	CMPK2
Q8TAD8	SNIP1
Q9H869	YY1AP1
Q9UBP6	METTL1
O43281	EFS
O43823	AKAP8
O60884	DNAJA2
P25189	MPZ
P82279	CRB1
Q3LI59	KRTAP21-2
Q9BQ52	ELAC2
Q9NPC7	MYNN
P54750	PDE1A
O15393	TMPRSS2
Q04206	RELA
Q9BXJ9	NAA15
Q3SY17	SLC25A52
P60411	KRTAP10-9
Q9NQ40	SLC52A3
Q9UKN1	MUC12
Q9Y5I7	CLDN16
P51116	FXR2
Q9Y2I8	WDR37
Q8NC51	SERBP1
O14980	XPO1
O75355	ENTPD3
P11117	ACP2
P36969	GPX4
P49641	MAN2A2
Q5BJE1	CCDC178
P14866	HNRNPL
Q86VR2	RETREG3
Q8TAT5	NEIL3
Q8TAV4	STOML3
O95389	CCN6
Q6BCY4	CYB5R2
Q9NVF7	FBXO28
Q86Z14	KLB
Q9H788	SH2D4A
O15370	SOX12
P01106	MYC
Q9NUV9	GIMAP4
A2RU54	HMX2
P02818	BGLAP
Q14390	GGTLC2
Q9BZL6	PRKD2
Q15475	SIX1
Q01968	OCRL
Q15306	IRF4
B0I1T2	MYO1G
Q13113	PDZK1IP1
P46781	RPS9
P15259	PGAM2
P47224	RABIF
Q68D51	DENND2C
Q9Y2J8	PADI2
Q9NRC1	ST7
Q969G6	RFK
Q6IFG1	OR52E8
Q5VWP2	TENT5C
P04040	CAT
Q9H0A9	SPATC1L
Q8N140	EID3
Q8N349	OR2L13
Q5U4N7	GDF5-AS1
Q6NUQ4	TMEM214
Q96BR5	COA7
Q53TQ3	INO80D
Q99816	TSG101
A1L1A6	IGSF23
Q567V2	MPV17L2
P12643	BMP2
Q9BYE4	SPRR2G
Q02643	GHRHR
Q8NEY1	NAV1
